Miasto,Wojewodztwo,Kraj
Warszawa,Mazowieckie,Polska
Kraków,Małopolskie,Polska
Łódź,Łódzkie,Polska
Wrocław,Dolnośląskie,Polska
Poznań,Wielkopolskie,Polska
Gdańsk,Pomorskie,Polska
Szczecin,Zachodniopomorskie,Polska
Bydgoszcz,Kujawsko-Pomorskie,Polska
Lublin,Lubelskie,Polska
Białystok,Podlaskie,Polska
Katowice,Śląskie,Polska
Gdynia,Pomorskie,Polska
Częstochowa,Śląskie,Polska
Radom,Mazowieckie,Polska
Sosnowiec,Śląskie,Polska
Toruń,Kujawsko-Pomorskie,Polska
Kielce,Świętokrzyskie,Polska
Rzeszów,Podkarpackie,Polska
Gliwice,Śląskie,Polska
Zabrze,Śląskie,Polska
Olsztyn,Warmińsko-Mazurskie,Polska
Bielsko-Biała,Śląskie,Polska
Bytom,Śląskie,Polska
Zielona Góra,Lubuskie,Polska
Ruda Śląska,Śląskie,Polska
Rybnik,Śląskie,Polska
Tychy,Śląskie,Polska
Gorzów Wielkopolski,Lubuskie,Polska
Dąbrowa Górnicza,Śląskie,Polska
Płock,Mazowieckie,Polska
Elbląg,Warmińsko-Mazurskie,Polska
Opole,Opolskie,Polska
Wałbrzych,Dolnośląskie,Polska
Włocławek,Kujawsko-Pomorskie,Polska
Tarnów,Małopolskie,Polska
Chorzów,Śląskie,Polska
Koszalin,Zachodniopomorskie,Polska
Kalisz,Wielkopolskie,Polska
Legnica,Dolnośląskie,Polska
Grudziądz,Kujawsko-Pomorskie,Polska
Jaworzno,Śląskie,Polska
Słupsk,Pomorskie,Polska
Jastrzębie-Zdrój,Śląskie,Polska
Nowy Sącz,Małopolskie,Polska
Jelenia Góra,Dolnośląskie,Polska
Siedlce,Mazowieckie,Polska
Konin,Wielkopolskie,Polska
Piotrków Trybunalski,Łódzkie,Polska
Mysłowice,Śląskie,Polska
Inowrocław,Kujawsko-Pomorskie,Polska
Piła,Wielkopolskie,Polska
Lubin,Dolnośląskie,Polska
Ostrów Wielkopolski,Wielkopolskie,Polska
Ostrowiec Świętokrzyski,Świętokrzyskie,Polska
Suwałki,Podlaskie,Polska
Gniezno,Wielkopolskie,Polska
Stargard,Zachodniopomorskie,Polska
Głogów,Dolnośląskie,Polska
Siemianowice Śląskie,Śląskie,Polska
Pabianice,Łódzkie,Polska
Zamość,Lubelskie,Polska
Leszno,Wielkopolskie,Polska
Chełm,Lubelskie,Polska
Łomża,Podlaskie,Polska
Tomaszów Mazowiecki,Łódzkie,Polska
Ełk,Warmińsko-Mazurskie,Polska
Pruszków,Mazowieckie,Polska
Bełchatów,Łódzkie,Polska
Kędzierzyn-Koźle,Opolskie,Polska
Mielec,Podkarpackie,Polska
Tarnowskie Góry,Śląskie,Polska
Tczew,Pomorskie,Polska
Piekary Śląskie,Śląskie,Polska
Świdnica,Dolnośląskie,Polska
Zgierz,Łódzkie,Polska
Biała Podlaska,Lubelskie,Polska
Racibórz,Śląskie,Polska
Legionowo,Mazowieckie,Polska
Ostrołęka,Mazowieckie,Polska
Świętochłowice,Śląskie,Polska
Zawiercie,Śląskie,Polska
Skierniewice,Łódzkie,Polska
Starachowice,Świętokrzyskie,Polska
Wodzisław Śląski,Śląskie,Polska
Puławy,Lubelskie,Polska
Starogard Gdański,Pomorskie,Polska
Tarnobrzeg,Podkarpackie,Polska
Kołobrzeg,Zachodniopomorskie,Polska
Krosno,Podkarpackie,Polska
Radomsko,Łódzkie,Polska
Otwock,Mazowieckie,Polska
Skarżysko-Kamienna,Świętokrzyskie,Polska
Ciechanów,Mazowieckie,Polska
Kutno,Łódzkie,Polska
Sieradz,Łódzkie,Polska
Zduńska Wola,Łódzkie,Polska
Świnoujście,Zachodniopomorskie,Polska
Żyrardów,Mazowieckie,Polska
Bolesławiec,Dolnośląskie,Polska
Nowa Sól,Lubuskie,Polska
